epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,5889.16,1.63828,1.75381,1.11095,0.13528,0.17827,0.09719,0.05564,1.72365,2.46989,1.18987,0.000203455,0.000203455,0.000203455
54,6003,1.60456,1.70026,1.09438,0.25882,0.1653,0.08583,0.04677,1.80861,2.79569,1.20767,0.00019258,0.00019258,0.00019258
55,6112.42,1.60024,1.71102,1.10348,0.24503,0.14167,0.07811,0.04442,1.79055,2.63553,1.20924,0.000181704,0.000181704,0.000181704
56,6221.7,1.59676,1.6662,1.09916,0.15089,0.16701,0.09826,0.05783,1.73042,2.63493,1.19439,0.000170828,0.000170828,0.000170828
57,6332.74,1.59604,1.6851,1.09676,0.1311,0.15896,0.0999,0.05423,1.76566,2.50259,1.19876,0.000159952,0.000159952,0.000159952
58,6442.63,1.60892,1.70369,1.10695,0.12802,0.15754,0.09293,0.05357,1.74371,2.49831,1.19971,0.000149076,0.000149076,0.000149076
59,6555.44,1.60305,1.69357,1.10084,0.20452,0.20225,0.10281,0.05837,1.77081,2.45217,1.18535,0.0001382,0.0001382,0.0001382
60,6664.52,1.58207,1.64371,1.09262,0.46103,0.10785,0.05245,0.03034,1.88411,3.44816,1.21212,0.000127324,0.000127324,0.000127324
61,6785.14,1.52192,1.54799,1.10552,0.25951,0.21409,0.09421,0.05427,1.75604,2.58583,1.19381,0.000116449,0.000116449,0.000116449
62,6893.63,1.47939,1.48907,1.09466,0.21363,0.12053,0.07649,0.04421,1.77222,2.66978,1.20221,0.000105573,0.000105573,0.000105573
63,7004.79,1.48364,1.47058,1.09477,0.1419,0.14133,0.1081,0.06006,1.74045,2.3857,1.19854,9.46969e-05,9.46969e-05,9.46969e-05
64,7110.2,1.47767,1.45903,1.09559,0.13466,0.13293,0.09727,0.05549,1.75834,2.51511,1.20848,8.3821e-05,8.3821e-05,8.3821e-05
65,7220.89,1.47207,1.43357,1.08683,0.23581,0.16085,0.09166,0.05122,1.7678,2.47752,1.20249,7.29451e-05,7.29451e-05,7.29451e-05
66,7327.72,1.46685,1.43769,1.09093,0.11098,0.21033,0.10185,0.05686,1.72346,2.45095,1.19861,6.20693e-05,6.20693e-05,6.20693e-05
67,7434.28,1.45991,1.41537,1.08287,0.11259,0.17322,0.10123,0.0572,1.73685,2.51227,1.20005,5.11934e-05,5.11934e-05,5.11934e-05
68,7540.66,1.45,1.40205,1.07631,0.11914,0.20697,0.10091,0.05753,1.75748,2.48108,1.20378,4.03176e-05,4.03176e-05,4.03176e-05
69,7645.03,1.44402,1.38808,1.07507,0.11884,0.22299,0.10339,0.05851,1.74717,2.46464,1.20013,2.94417e-05,2.94417e-05,2.94417e-05
70,7754.76,1.43175,1.38314,1.07311,0.12704,0.21252,0.10276,0.05757,1.72028,2.44808,1.19794,1.85659e-05,1.85659e-05,1.85659e-05
